duration_ms_1990,loudness_1990,speechiness_1990,duration_ms_2000,loudness_2000,speechiness_2000,duration_ms_2010,loudness_2010,speechiness_2010,duration_ms_2019,loudness_2019,speechiness_2019
322133,-7.32,0.0306,257760.0,-3.947,0.0751,199693.0,-2.718,0.142,207320.0,-5.6339999999999995,0.0658
330933,-8.34,0.0587,263667.0,-9.09,0.0307,216480.0,-7.784,0.0341,201661.0,-7.05,0.0705
211973,-11.005,0.0327,263800.0,-4.047,0.0244,294573.0,-3.755,0.0363,241107.0,-7.462000000000001,0.0386
215040,-7.325,0.10800000000000001,187133.0,-3.891,0.0982,246960.0,-8.415,0.159,312820.0,-3.714,0.222
274093,-12.639000000000001,0.03,250360.0,-9.88,0.0279,228347.0,-6.72,0.0417,158040.0,-5.574,0.0466
255667,-12.206,0.031,227707.0,-2.563,0.0336,194347.0,-7.694,0.0534,190947.0,-2.7289999999999996,0.0618
245733,-10.136000000000001,0.0304,188200.0,-5.457999999999999,0.0552,221253.0,-5.507000000000001,0.0779,214290.0,-2.7489999999999997,0.0452
287733,-5.206,0.047,243733.0,-6.166,0.0844,169354.0,-5.7139999999999995,0.0318,130973.0,-8.463,0.0363
245426,-14.454,0.0994,218187.0,-5.066,0.0325,284373.0,-6.857,0.0735,126267.0,-8.749,0.0502
214219,-4.997,0.0302,359347.0,-7.8839999999999995,0.0441,177667.0,-6.593999999999999,0.0897,133093.0,-13.004000000000001,0.0299
154182,-6.9510000000000005,0.0432,215800.0,-6.832999999999999,0.11199999999999999,145543.0,-6.903,0.292,192160.0,-15.231,0.0341
235560,-15.020999999999999,0.0247,165347.0,-4.075,0.0896,288133.0,-6.0889999999999995,0.225,145543.0,-6.903,0.292
256000,-13.243,0.0252,283748.0,-11.470999999999998,0.0582,201587.0,-6.977,0.0533,151933.0,-8.435,0.037000000000000005
258827,-3.142,0.0301,182267.0,-4.9719999999999995,0.0289,236686.0,-6.327999999999999,0.402,235545.0,-6.825,0.0505
230000,-13.54,0.12300000000000001,244053.0,-3.972,0.20600000000000002,208307.0,-3.9730000000000003,0.0438,228760.0,-5.787999999999999,0.17600000000000002
237717,-4.457,0.0334,246427.0,-6.165,0.0418,187899.0,-18.725,0.0369,135760.0,-16.768,0.0332
279800,-4.942,0.0393,241373.0,-5.4239999999999995,0.0434,216933.0,-7.497999999999999,0.0317,183907.0,-5.266,0.0315
279053,-7.12,0.0415,255893.0,-9.231,0.0359,243007.0,-9.997,0.0451,204665.0,-5.144,0.0485
236467,-9.475,0.0661,198053.0,-6.529,0.0287,202067.0,-4.667,0.042,205427.0,-4.045,0.046
248533,-6.151,0.0774,248467.0,-8.103,0.5329999999999999,289133.0,-6.375,0.0265,155453.0,-13.335999999999999,0.0595
313693,-12.708,0.0305,276225.0,-9.869,0.0747,236440.0,-4.433,0.0318,173800.0,-7.648,0.321
244307,-6.077999999999999,0.312,235293.0,-4.025,0.0408,232120.0,-4.4319999999999995,0.0379,198160.0,-5.412999999999999,0.0433
329627,-6.656000000000001,0.0264,159893.0,-6.487,0.0613,242840.0,-5.189,0.0331,231267.0,-5.843,0.0454
288093,-11.77,0.0403,239933.0,-7.775,0.0486,228640.0,-4.229,0.107,203418.0,-5.114,0.46299999999999997
349840,-7.421,0.0476,278067.0,-6.063,0.0428,230760.0,-5.356,0.0432,267160.0,-7.9639999999999995,0.0282
140535,-3.9130000000000003,0.0927,194233.0,-7.414,0.0442,258587.0,-8.707,0.0675,181267.0,-7.013,0.0288
321573,-6.227,0.0532,274413.0,-4.837,0.179,249013.0,-5.155,0.11199999999999999,239836.0,-7.23,0.2
253760,-6.825,0.0362,331427.0,-7.604,0.0285,164707.0,-6.4239999999999995,0.0413,182067.0,-9.004,0.0383
251560,-13.695,0.026000000000000002,216333.0,-6.249,0.0329,244160.0,-3.072,0.188,212500.0,-4.167,0.228
123891,-11.185,0.0549,193067.0,-4.944,0.1,295333.0,-4.448,0.0266,210368.0,-6.349,0.0621
263779,-8.838,0.054000000000000006,166693.0,-7.517,0.052000000000000005,218296.0,-2.371,0.0644,145587.0,-5.797999999999999,0.0618
241107,-5.074,0.095,220293.0,-6.752000000000001,0.408,216773.0,-4.44,0.0431,195637.0,-2.806,0.0851
282665,-5.332000000000001,0.0279,247333.0,-6.517,0.0837,212507.0,-2.948,0.0397,177480.0,-16.485,0.0381
255947,-4.649,0.12300000000000001,363800.0,-8.041,0.0297,207547.0,-3.614,0.113,206347.0,-11.042,0.0331
190520,-6.682,0.139,131250.0,-6.205,0.0297,256547.0,-4.9239999999999995,0.297,180522.0,-6.365,0.0905
284027,-3.839,0.17600000000000002,183440.0,-7.46,0.0299,213360.0,-4.721,0.0773,288624.0,-7.643,0.086
257440,-9.902000000000001,0.0339,282227.0,-7.563,0.0282,235613.0,-2.574,0.0798,213993.0,-5.627999999999999,0.14400000000000002
245133,-7.53,0.0318,239547.0,-7.654,0.18899999999999997,220627.0,-5.853,0.0403,253390.0,-3.998,0.129
169999,-6.702000000000001,0.311,192333.0,-4.6419999999999995,0.0444,236787.0,-2.529,0.0582,129173.0,-16.660999999999998,0.0425
241107,-7.462000000000001,0.0386,303903.0,-10.224,0.064,254147.0,-5.6979999999999995,0.319,213387.0,-5.968,0.0298
243427,-7.081,0.0596,249533.0,-8.57,0.027999999999999997,200253.0,-2.549,0.054000000000000006,213880.0,-11.075999999999999,0.0315
222733,-10.618,0.0442,211773.0,-2.7110000000000003,0.152,247933.0,-4.7780000000000005,0.0587,153240.0,-7.444,0.0311
192516,-1.682,0.07,257360.0,-5.882000000000001,0.0319,272394.0,-7.596,0.0323,229640.0,-5.438,0.0537
316627,-15.075,0.0279,286441.0,-10.05,0.185,215320.0,-6.473,0.0273,165733.0,-10.453,0.0832
259067,-5.933,0.0581,239987.0,-7.954,0.0319,260360.0,-18.744,0.0313,189467.0,-6.112,0.0409
362373,-11.325999999999999,0.0259,220133.0,-3.3489999999999998,0.0322,226640.0,-4.011,0.0398,149547.0,-7.359,0.20800000000000002
167939,-13.1,0.0442,259307.0,-5.355,0.16399999999999998,197267.0,-5.0360000000000005,0.0323,201707.0,-5.626,0.0449
317933,-8.557,0.0251,287267.0,-7.255,0.031,242733.0,-7.273,0.0489,122160.0,-11.437000000000001,0.0353
276467,-11.592,0.228,268960.0,-8.657,0.0276,250413.0,-4.265,0.0469,197867.0,-8.113,0.187
212107,-4.505,0.0311,170787.0,-6.995,0.0411,242427.0,-4.106,0.0321,215733.0,-6.362,0.0308
235373,-6.784,0.0268,321427.0,-9.925,0.0397,177600.0,-4.4830000000000005,0.151,182521.0,-6.263999999999999,0.128
286040,-10.001,0.0288,167067.0,-4.918,0.0488,287760.0,-4.33,0.0336,183160.0,-3.793,0.0406
391000,-8.295,0.0306,158575.0,-21.268,0.0408,227533.0,-5.754,0.0447,194184.0,-2.188,0.212
185863,-5.946000000000001,0.113,162462.0,-20.344,0.0494,203569.0,-8.461,0.0402,189487.0,-5.239,0.303
254173,-9.873,0.0286,171840.0,-7.385,0.0718,304840.0,-4.046,0.0775,205352.0,-6.952000000000001,0.359
270080,-5.5089999999999995,0.109,198947.0,-5.119,0.12300000000000001,239119.0,-5.745,0.0232,211467.0,-7.398,0.059000000000000004
172909,-4.166,0.0429,185427.0,-9.339,0.031,266773.0,-3.015,0.0319,182623.0,-5.029,0.0621
235653,-4.099,0.0343,291707.0,-6.775,0.09300000000000001,232467.0,-6.763999999999999,0.14800000000000002,195053.0,-8.72,0.0334
252373,-10.862,0.036000000000000004,151573.0,-5.0169999999999995,0.0859,229107.0,-4.404,0.221,169999.0,-6.702000000000001,0.311
456587,-6.92,0.0453,254133.0,-9.366,0.0885,226743.0,-7.379,0.0587,196373.0,-6.319,0.0362
265027,-7.978,0.0491,228267.0,-7.159,0.0324,227027.0,-4.152,0.0282,211768.0,-3.77,0.0554
302973,-14.674000000000001,0.0302,267067.0,-8.132,0.0578,256173.0,-17.112000000000002,0.0333,192779.0,-4.6530000000000005,0.133
258467,-12.741,0.0603,233907.0,-3.918,0.0869,192800.0,-5.933,0.0386,179449.0,-5.075,0.0413
170279,-5.59,0.063,143478.0,-30.487,0.0367,183027.0,-4.67,0.0435,172787.0,-5.285,0.0334
182075,-6.54,0.21600000000000003,652440.0,-18.05,0.0367,209480.0,-5.638,0.034,194088.0,-10.965,0.375
224933,-3.528,0.0434,173325.0,-3.0460000000000003,0.114,97000.0,-18.042,0.0414,190466.0,-4.853,0.353
246987,-4.041,0.0877,226227.0,-6.604,0.0309,242012.0,-2.951,0.046,177748.0,-7.8229999999999995,0.34600000000000003
180578,-19.083,0.0598,365800.0,-11.136,0.19699999999999998,224031.0,-12.460999999999999,0.03,204347.0,-4.374,0.128
403867,-7.848,0.0347,273493.0,-6.303,0.0289,222947.0,-6.402,0.0703,248521.0,-7.882999999999999,0.052000000000000005
227880,-7.438,0.0949,203569.0,-8.461,0.0402,244587.0,-4.808,0.0335,154226.0,-6.279,0.43200000000000005
177339,-5.675,0.425,205173.0,-6.047000000000001,0.0363,227320.0,-4.732,0.0489,152000.0,-9.954,0.0941
152913,-6.806,0.0295,185558.0,-4.296,0.0506,187320.0,-4.072,0.0475,181913.0,-8.131,0.0348
329960,-14.753,0.0316,234960.0,-5.088,0.0252,183440.0,-7.46,0.0299,198903.0,-5.45,0.0412
328093,-4.935,0.0275,208452.0,-13.004000000000001,0.039,163390.0,-3.7889999999999997,0.0929,217467.0,-5.843999999999999,0.0671
281800,-12.194,0.0527,198067.0,-4.288,0.0341,192947.0,-6.044,0.331,201072.0,-5.445,0.136
184858,-3.1830000000000003,0.0888,178800.0,-9.927999999999999,0.145,258475.0,-5.024,0.20199999999999999,238493.0,-7.221,0.0972
