Artist,Year,Title
Khalid,2019,"""Bad Luck"""
Khalid,2019,"""My Bad"""
Khalid,2019,"""Better"""
Khalid,2019,"""Talk"""
Khalid,2019,"""Right Back"""
Khalid,2019,"""Don't Pretend"" (with Safe)"
Khalid,2019,"""Paradise"""
Khalid,2019,"""Hundred"""
Khalid,2019,"""Outta My Head"" (with John Mayer)"
Khalid,2019,"""Free Spirit"""
Khalid,2019,"""Twenty One"""
Khalid,2019,"""Bluffin'"""
Khalid,2019,"""Self"""
Khalid,2019,"""Alive"""
Khalid,2019,"""Heaven"""
Khalid,2019,"""Saturday Nights"" (bonus track)"
Khalid,2017,"""American Teen"""
Khalid,2017,"""Young Dumb & Broke"""
Khalid,2017,"""Location"""
Khalid,2017,"""Another Sad Love Song"""
Khalid,2017,"""Saved"""
Khalid,2017,"""Coaster"""
Khalid,2017,"""8teen"""
Khalid,2017,"""Let's Go"""
Khalid,2017,"""Hopeless"""
Khalid,2017,"""Cold Blooded"""
Khalid,2017,"""Winter"""
Khalid,2017,"""Therapy"""
Khalid,2017,"""Keep Me"""
Khalid,2017,"""Shot Down"""
Khalid,2017,"""Angels"""
J Balvin,2019,"""Mojaita"""
J Balvin,2019,"""Yo Le Llego"""
J Balvin,2019,"""Cuidao por Ahí"""
J Balvin,2019,"""Qué Pretendes"""
J Balvin,2019,"""La Canción"""
J Balvin,2019,"""Un Peso"" (featuring Marciano Cantero)"
J Balvin,2019,"""Odio"""
J Balvin,2019,"""Como un Bebé"" (featuring Mr Eazi)"
J Balvin,2018,"""Vibras"" (featuring Carla Morrison)"
J Balvin,2018,"""Mi Gente"" (with Willy William)"
J Balvin,2018,"""Ambiente"""
J Balvin,2018,"""Cuando Tú Quieras"""
J Balvin,2018,"""No Es Justo"" (featuring Zion & Lennox)"
J Balvin,2018,"""Ahora"""
J Balvin,2018,"""Brillo"" (featuring Rosalía)"
J Balvin,2018,"""En Mí (Interlude)"""
J Balvin,2018,"""En Mí"""
J Balvin,2018,"""Peligrosa"" (featuring Wisin & Yandel)"
J Balvin,2018,"""Noches Pasadas"""
J Balvin,2018,"""Tu Verdad"""
J Balvin,2018,"""Dónde Estarás"""
J Balvin,2018,"""Machika"" (with Jeon and Anitta)"
J Balvin,2016,"""Veneno"""
J Balvin,2016,"""Malvada"""
J Balvin,2016,"""Safari"" (featuring Pharrell Williams, BIA and Sky)"
J Balvin,2016,"""Bobo"""
J Balvin,2016,"""Sigo Extrañándote"""
J Balvin,2016,"""Primera Cita"""
J Balvin,2016,"""Pierde Los Modales"" (featuring Daddy Yankee)"
J Balvin,2016,"""Por Un Día"""
J Balvin,2016,"""No Hay Título"""
J Balvin,2016,"""Acércate"" (featuring Yandel)"
J Balvin,2016,"""Snapchat"""
J Balvin,2016,"""Hola"""
J Balvin,2016,"""Ginza"""
J Balvin,2016,"""Solitario"""
J Balvin,2016,"""35 Pa Las 12"" (Fuego featuring J Balvin)"
Ariana Grande,2019,"Thank U, next"
Ariana Grande,2018,"""Raindrops (An Angel Cried)"""
Ariana Grande,2018,"""Blazed"" (featuring Pharrell Williams)"
Ariana Grande,2018,"""The Light Is Coming"" (featuring Nicki Minaj)"
Ariana Grande,2018,"""R.E.M"""
Ariana Grande,2018,"""God Is a Woman"""
Ariana Grande,2018,"""Sweetener"""
Ariana Grande,2018,"""Successful"""
Ariana Grande,2018,"""Everytime"""
Ariana Grande,2018,"""Breathin"""
Ariana Grande,2018,"""No Tears Left to Cry"""
Ariana Grande,2018,"""Borderline"" (featuring Missy Elliott)"
Ariana Grande,2018,"""Better Off"""
Ariana Grande,2018,"""Goodnight n Go"""
Ariana Grande,2018,"""Pete Davidson"""
Ariana Grande,2018,"""Get Well Soon"""
Ariana Grande,2016,"""Moonlight"""
Ariana Grande,2016,"""Dangerous Woman"""
Ariana Grande,2016,"""Be Alright"""
Ariana Grande,2016,"""Into You"""
Ariana Grande,2016,"""Side to Side"" (featuring Nicki Minaj)"
Ariana Grande,2016,"""Let Me Love You"" (featuring Lil Wayne)"
Ariana Grande,2016,"""Greedy"""
Ariana Grande,2016,"""Leave Me Lonely"" (featuring Macy Gray)"
Ariana Grande,2016,"""Everyday"" (featuring Future)"
Ariana Grande,2016,"""Bad Decisions"""
Ariana Grande,2016,"""Thinking Bout You"""
Billie Eilish,2019,"""!!!!!!!"""
Billie Eilish,2019,"""Bad Guy"""
Billie Eilish,2019,"""Xanny"""
Billie Eilish,2019,"""You Should See Me in a Crown"""
Billie Eilish,2019,"""All the Good Girls Go to Hell"""
Billie Eilish,2019,"""Wish You Were Gay"""
Billie Eilish,2019,"""When the Party's Over"" (F. O'Connell)"
Billie Eilish,2019,"""8"""
Billie Eilish,2019,"""My Strange Addiction"" (F. O'Connell)"
Billie Eilish,2019,"""Bury a Friend"""
Billie Eilish,2019,"""Ilomilo"""
Billie Eilish,2019,"""Listen Before I Go"""
Billie Eilish,2019,"""I Love You"""
Billie Eilish,2019,"""Goodbye"""
Billie Eilish,2017,"""Copycat"""
Billie Eilish,2017,"""Idontwannabeyouanymore"""
Billie Eilish,2017,"""My Boy"""
Billie Eilish,2017,"""Watch"" (writer: F. O'Connell)"
Billie Eilish,2017,"""Party Favor"""
Billie Eilish,2017,"""Bellyache"""
Billie Eilish,2017,"""Ocean Eyes"" (writer: F. O'Connell)"
Billie Eilish,2017,"""Hostage"""
Ed Sheeran,2019,"""Beautiful People"" (featuring Khalid)"
Ed Sheeran,2019,"""South of the Border"" (featuring Camila Cabello and Cardi B)"
Ed Sheeran,2019,"""Cross Me"" (featuring Chance the Rapper and PnB Rock)"
Ed Sheeran,2019,"""Take Me Back to London"" (featuring Stormzy)"
Ed Sheeran,2019,"""Best Part of Me"" (featuring Yebba)"
Ed Sheeran,2019,"""I Don't Care"" (with Justin Bieber)"
Ed Sheeran,2019,"""Antisocial"" (with Travis Scott)"
Ed Sheeran,2019,"""Remember the Name"" (featuring Eminem and 50 Cent)"
Ed Sheeran,2019,"""Feels"" (featuring Young Thug and J Hus)"
Ed Sheeran,2019,"""Put It All on Me"" (featuring Ella Mai)"
Ed Sheeran,2019,"""Nothing on You"" (featuring Paulo Londra and Dave)"
Ed Sheeran,2019,"""I Don't Want Your Money"" (featuring H.E.R.)"
Ed Sheeran,2019,"""1000 Nights"" (featuring Meek Mill and A Boogie wit da Hoodie)"
Ed Sheeran,2019,"""Way to Break My Heart"" (featuring Skrillex)"
Ed Sheeran,2019,"""Blow"" (with Chris Stapleton and Bruno Mars)"
Ed Sheeran,2017,"""Eraser"""
Ed Sheeran,2017,"""Castle on the Hill"""
Ed Sheeran,2017,"""Dive"""
Ed Sheeran,2017,"""Shape of You"""
Ed Sheeran,2017,"""Perfect"""
Ed Sheeran,2017,"""Galway Girl"""
Ed Sheeran,2017,"""Happier"""
Ed Sheeran,2017,"""New Man"""
Ed Sheeran,2017,"""Hearts Don't Break Around Here"""
Ed Sheeran,2017,"""What Do I Know?"""
Ed Sheeran,2017,"""How Would You Feel (Paean)"""
Ed Sheeran,2017,"""Supermarket Flowers"""
Drake,2018,"""Survival"""
Drake,2018,"""Nonstop"""
Drake,2018,"""Elevate"""
Drake,2018,"""Emotionless"""
Drake,2018,"""God's Plan"""
Drake,2018,"""I'm Upset"""
Drake,2018,"""8 Out of 10"""
Drake,2018,"""Mob Ties"""
Drake,2018,"""Can't Take a Joke"""
Drake,2018,"""Sandra's Rose"""
Drake,2018,"""Talk Up"" (featuring Jay-Z)"
Drake,2018,"""Is There More"""
Drake,2016,"""Keep the Family Close"""
Drake,2016,"""9"""
Drake,2016,"""U with Me?"""
Drake,2016,"""Feel No Ways"""
Drake,2016,"""Hype"""
Drake,2016,"""Weston Road Flows"""
Drake,2016,"""Redemption"""
