,song_titles
0,"Thank U, Next"
1,Without Me
2,All I Want For Christmas Is You
3,Sicko Mode
4,Sunflower (Spider-Man: Into The Spider-Verse)
5,High Hopes
6,Happier
7,Jingle Bell Rock
8,Rockin' Around The Christmas Tree
9,A Holly Jolly Christmas
10,The Christmas Song (Merry Christmas To You)
11,Drip Too Hard
12,It's The Most Wonderful Time Of The Year
13,Girls Like You
14,ZEZE
15,Rudolph The Red-Nosed Reindeer
16,Mo Bamba
17,Wake Up In The Sky
18,Money
19,"Let It Snow, Let It Snow, Let It Snow"
20,Eastside
21,Breathin
22,Better Now
23,Youngblood
24,Last Christmas
25,Sleigh Ride
26,Lucid Dreams
27,Here Comes Santa Claus (Right Down Santa Claus Lane)
28,Feliz Navidad
29,Taki Taki
30,MIA
31,(There's No Place Like) Home For The Holidays
32,Leave Me Alone
33,White Christmas
34,It's Beginning To Look A Lot Like Christmas
35,Going Bad
36,A Lot
37,Trip
38,I Like It
39,Blue Christmas
40,Speechless
41,Happy Xmas (War Is Over)
42,Christmas (Baby Please Come Home)
43,Underneath The Tree
44,Run Rudolph Run
45,Natural
46,Wow.
47,Love Lies
48,Jingle Bells
49,Beautiful
50,Better
51,Shallow
52,Cozy Little Christmas
53,She Got The Best Of Me
54,The Christmas Song
55,Uproar
56,Swervin
57,Can't Leave Without It
58,You Say
59,Close To Me
60,Best Shot
61,Dangerous
62,Be Alright
63,Drunk Me
64,Startender
65,Look Back At It
66,All My Friends
67,BAD!
68,Backin' It Up
69,Break Da Law
70,Imagine
71,Talk To Me
72,Monster
73,Calling My Spirit
74,Consequences
75,Armed And Dangerous
76,Arms Around You
77,Nothing Breaks Like A Heart
78,Sixteen
79,Burning Man
80,Beautiful Crazy
81,When The Party's Over
82,Sweet But Psycho
83,This Feeling
84,You
85,1.5
86,Girl Like You
87,Out For The Night
88,Good Girl
89,No Stylist
90,Lovely
91,Ella Quiere Beber
92,Gun Smoke
93,Demons And Angels
94,ASMR
95,Last Shot
96,Fine China
97,Envy Me
98,Lost In Japan
99,This Is It
100,7 Rings
101,Without Me
102,Sunflower (Spider-Man: Into The Spider-Verse)
103,"Thank U, Next"
104,Sicko Mode
105,High Hopes
106,Happier
107,Wow.
108,Girls Like You
109,Drip Too Hard
110,Eastside
111,ZEZE
112,Money
113,Going Bad
114,Wake Up In The Sky
115,Mo Bamba
116,Youngblood
117,Taki Taki
118,MIA
119,Better Now
120,Leave Me Alone
121,Breathin
122,Better
123,Shallow
124,Lucid Dreams
125,Middle Child
126,Beautiful
127,Close To Me
128,Twerk
129,Trip
130,Speechless
131,Love Lies
132,Lost In The Fire
133,A Lot
134,Sweet But Psycho
135,Baby Shark
136,I Like It
137,Keanu Reeves
138,You Say
139,Backin' It Up
140,Dancing With A Stranger
141,Beautiful Crazy
142,Crushed Up
143,Look Back At It
144,Envy Me
145,Swervin
146,First Off
147,Burning Man
148,Sixteen
149,Natural
150,Girl Like You
151,Be Alright
152,This Is It
153,Nothing Breaks Like A Heart
154,Undecided
155,This Feeling
156,Jumpin On A Jet
157,Good Girl
158,Uproar
159,Best Shot
160,Ella Quiere Beber
161,Calling My Spirit
162,Armed And Dangerous
163,Arms Around You
164,Never Stop
165,Thotiana
166,You
167,Secreto
168,No Stylist
169,What Makes You Country
170,Mixed Personalities
171,Consequences
172,Millionaire
173,Yosemite
174,Saturday Nights
175,Temptation
176,Ruin My Life
177,Take It From Me
178,Rocket Ship
179,Startender
180,Pure Water
181,Lovely
182,F&N
183,Down To The Honkytonk
184,Body
185,Love Someone
186,When The Party's Over
187,Nights Like This
188,Pure Cocaine
189,Electricity
190,On My Way To You
191,Make It Sweet
192,Love Wins
193,Talk To Me
194,Murder On My Mind
195,GIRL
196,Roses
197,Face My Fears
198,Imagine
199,Call The Coroner
200,7 Rings
201,Without Me
202,Sunflower (Spider-Man: Into The Spider-Verse)
203,"Thank U, Next"
204,Please Me
205,Happier
206,Sicko Mode
207,"Break Up With Your Girlfriend, I'm Bored"
208,High Hopes
209,Wow.
210,Middle Child
211,Eastside
212,Thotiana
213,Murder On My Mind
214,Going Bad
215,Money
216,A Lot
217,Drip Too Hard
218,Girls Like You
219,Better
220,Shallow
221,ZEZE
222,Beautiful Crazy
223,MIA
224,Dancing With A Stranger
225,Youngblood
226,Robbery
227,Better Now
228,Sweet But Psycho
229,Be Alright
230,Tequila
231,Bury A Friend
232,I Like It
233,You Say
234,Leave Me Alone
235,Wake Up In The Sky
236,Close To Me
237,Baby Shark
238,Look Back At It
239,Mo Bamba
240,Lucid Dreams
241,Envy Me
242,Swervin
243,Taki Taki
244,This Is It
245,NASA
246,Backin' It Up
247,Needy
248,Red Room
249,Talk
250,Girl Like You
251,Twerk
252,Bloodline
253,What Makes You Country
254,Bad Idea
255,Pure Water
256,Fake Smile
257,Imagine
258,Take It From Me
259,Mixed Personalities
260,Lost In The Fire
261,Ghostin
262,Nothing Breaks Like A Heart
263,This Feeling
264,Undecided
265,Millionaire
266,Here Tonight
267,Calling My Spirit
268,Sixteen
269,Love Someone
270,Armed And Dangerous
271,Nights Like This
272,Close Friends
273,In My Head
274,Put A Date On It
275,Pure Cocaine
276,Down To The Honkytonk
277,Ella Quiere Beber
278,Lovely
279,Talk You Out Of It
280,Miss Me More
281,Body
282,Burn Out
283,Eyes On You
284,Who Do You Love
285,365
286,Worth It
287,When The Party's Over
288,Yosemite
289,Shot Clock
290,There Was This Girl
291,Con Calma
292,On My Way To You
293,Let Me Down Slowly
294,Make Up
295,Make It Sweet
296,Good Girl
297,Arms Around You
298,Startender
299,One That Got Away
300,7 Rings
301,Wow.
302,Sunflower (Spider-Man: Into The Spider-Verse)
303,Without Me
304,Please Me
305,Happier
306,Middle Child
307,Thotiana
308,Sucker
309,Shallow
310,Eastside
311,Going Bad
312,High Hopes
313,"Break Up With Your Girlfriend, I'm Bored"
314,Old Town Road
315,Better
316,Dancing With A Stranger
317,Sicko Mode
318,Murder On My Mind
319,Sweet But Psycho
320,"Thank U, Next"
321,A Lot
322,Girls Like You
323,Be Alright
324,Beautiful Crazy
325,Drip Too Hard
326,Close To Me
327,Money
328,Better Now
329,You Say
330,Pure Water
331,Youngblood
332,Baby Shark
333,MIA
334,Look Back At It
335,Envy Me
336,Robbery
337,ZEZE
338,Tequila
339,Talk
340,Bury A Friend
341,Mixed Personalities
342,Act Up
343,Swervin
344,I Like It
345,Put A Date On It
346,Lucid Dreams
347,Taki Taki
348,Con Calma
349,Twerk
350,Here Tonight
351,Who Do You Love
352,Here With Me
353,Eyes On You
354,Worth It
355,Bad Liar
356,Close Friends
357,Girls Need Love
358,Good As You
359,Miss Me More
360,Undrunk
361,Shot Clock
362,Walk Me Home
363,Millionaire
364,Down To The Honkytonk
365,Whiskey Glasses
366,One That Got Away
367,This Is It
368,Look What God Gave Her
369,Pure Cocaine
370,There Was This Girl
371,Price On My Head
372,Saturday Nights
373,Make It Sweet
374,I've Been Waiting
375,Girl Like You
376,GIRL
377,Confessions Of A Dangerous Mind
378,Take It From Me
379,Splashin
380,Night Shift
381,I
382,Rumor
383,Wish You Were Gay
384,I Can't Get Enough
385,Hear Me Calling
386,Faucet Failure
387,Talk You Out Of It
388,Tap
389,Calma
390,Undecided
391,On My Way To You
392,Secreto
393,Calling My Spirit
394,Pop Out
395,Lovely
396,Don't Call Me Up
397,Last Hurrah
398,Empty
399,Love Wins
400,Old Town Road
401,Wow.
402,Sunflower (Spider-Man: Into The Spider-Verse)
403,7 Rings
404,Sucker
405,Without Me
406,Dancing With A Stranger
407,Talk
408,Bad Guy
409,Middle Child
410,Sweet But Psycho
411,Happier
412,Please Me
413,"Break Up With Your Girlfriend, I'm Bored"
414,Shallow
415,Going Bad
416,Earth
417,Eastside
418,Better
419,High Hopes
420,Thotiana
421,Girls Like You
422,Pure Water
423,A Lot
424,Sicko Mode
425,Beautiful Crazy
426,Be Alright
427,Look Back At It
428,Close To Me
429,Act Up
430,Envy Me
431,Sanguine Paradise
432,Drip Too Hard
433,Con Calma
434,Murder On My Mind
435,Bury A Friend
436,Here With Me
437,When The Party's Over
438,Clout
439,Boy With Luv
440,"Thank U, Next"
441,Better Now
442,God's Country
443,Eyes On You
444,You Say
445,Suge
446,Baby Shark
447,Whiskey Glasses
448,Here Tonight
449,Youngblood
450,Racks In The Middle
451,Good As You
452,Look What God Gave Her
453,Swervin
454,Who Do You Love
455,Make It Sweet
456,Close Friends
457,Worth It
458,Miss Me More
459,Pop Out
460,Night Shift
461,Walk Me Home
462,Mixed Personalities
