popularity,song_titles
unpopular,Good for You
unpopular,Body Heat
unpopular,Strings
unpopular,Aftertaste
unpopular,Air
unpopular,Crazy
unpopular,Survivors
unpopular,A Little Too Much
unpopular,Young God
unpopular,Control
unpopular,Kid In Love
unpopular,Coming Down
unpopular,Colors
unpopular,This Is What It Takes
unpopular,Me & the Rhythm
unpopular,Camouflage
unpopular,Angel
unpopular,Never Be Alone
unpopular,Life of the Party
unpopular,As You Are
unpopular,In the Night
unpopular,Something Big
unpopular,Earned It
unpopular,Revival
unpopular,Kill Em with Kindness
unpopular,Hands to Myself
unpopular,Roman Holiday
unpopular,Drive
unpopular,Haunting
unpopular,Hold Me Down
unpopular,Smoke and Mirrors
unpopular,I'm So Sorry
unpopular,Imagination
unpopular,Polaroid
unpopular,It Comes Back to You
unpopular,Dream
unpopular,Summer
unpopular,Hopeless Opus
unpopular,The Fall
unpopular,Friction
unpopular,The Weight
unpopular,Lost
unpopular,Castle
unpopular,Don't Want Your Love
unpopular,Losers
unpopular,I Don't Even Know Your Name
unpopular,Handwritten Demos
unpopular,Running Low
unpopular,Act Like You Love Me
unpopular,Bring It Back
unpopular,Sinner's Prayer
unpopular,Come to Mama
unpopular,Dancin' in Circles
unpopular,John Wayne
unpopular,Joanne
unpopular,A-Yo
unpopular,Bad Reputation
unpopular,Understand
unpopular,Views
unpopular,9
unpopular,Too Good to Say Goodbye
unpopular,Calling All My Lovelies
unpopular,Straight Up & Down
unpopular,Versace on the Floor
unpopular,Perm
unpopular,Chunky
unpopular,Hey Girl
unpopular,Summers Over Interlude
unpopular,U with Me?
unpopular,Keep the Family Close
unpopular,Angel Down
unpopular,Diamond Heart
unpopular,35 Pa Las 12
unpopular,Solitario
unpopular,Broken Glass
unpopular,Space Between
unpopular,Close to You
unpopular,Love on the Brain
unpopular,Never Ending
unpopular,"Yeah, I Said It"
unpopular,Woo
unpopular,Desperado
unpopular,James Joint
unpopular,Same Ol' Mistakes
unpopular,Hola
unpopular,Snapchat
unpopular,Acércate
unpopular,One Million Bullets
unpopular,Move Your Body
unpopular,Unstoppable
unpopular,Reaper
unpopular,House on Fire
unpopular,Footprints
unpopular,Sweet Design
unpopular,Veneno
unpopular,Malvada
unpopular,Safari
unpopular,Bobo
unpopular,Sigo Extrañándote
unpopular,Primera Cita
unpopular,Pierde Los Modales
unpopular,Por Un Día
unpopular,No Hay Título
unpopular,Consideration
unpopular,Bird Set Free
unpopular,Ruin
unpopular,Three Empty Words
unpopular,Don't Be a Fool
unpopular,Like This
unpopular,Thinking Bout You
unpopular,Bad Decisions
unpopular,Lights On
unpopular,Alive
unpopular,Side to Side
unpopular,Patience
unpopular,Greedy
unpopular,Leave Me Lonely
unpopular,Him
