,song_titles
0,Good for You
1,Body Heat
2,Strings
3,Aftertaste
4,Air
5,Crazy
6,Survivors
7,A Little Too Much
8,Young God
9,Control
10,Kid In Love
11,Coming Down
12,Colors
13,This Is What It Takes
14,Me & the Rhythm
15,Camouflage
16,Angel
17,Never Be Alone
18,Life of the Party
19,As You Are
20,In the Night
21,Something Big
22,Earned It
23,Revival
24,Kill Em with Kindness
25,Hands to Myself
26,Roman Holiday
27,Drive
28,Haunting
29,Hold Me Down
30,Smoke and Mirrors
31,I'm So Sorry
32,Imagination
33,Polaroid
34,It Comes Back to You
35,Dream
36,Summer
37,Hopeless Opus
38,The Fall
39,Friction
40,The Weight
41,Lost
42,Castle
43,Don't Want Your Love
44,Losers
45,I Don't Even Know Your Name
46,Handwritten Demos
47,Running Low
48,Act Like You Love Me
49,Bring It Back
50,Sinner's Prayer
51,Come to Mama
52,Dancin' in Circles
53,John Wayne
54,Joanne
55,A-Yo
56,Bad Reputation
57,Understand
58,Views
59,9
60,Too Good to Say Goodbye
61,Calling All My Lovelies
62,Straight Up & Down
63,Versace on the Floor
64,Perm
65,Chunky
66,Hey Girl
67,Summers Over Interlude
68,U with Me?
69,Keep the Family Close
70,Angel Down
71,Diamond Heart
72,35 Pa Las 12
73,Solitario
74,Broken Glass
75,Space Between
76,Close to You
77,Love on the Brain
78,Never Ending
79,"Yeah, I Said It"
80,Woo
81,Desperado
82,James Joint
83,Same Ol' Mistakes
84,Hola
85,Snapchat
86,Acércate
87,One Million Bullets
88,Move Your Body
89,Unstoppable
90,Reaper
91,House on Fire
92,Footprints
93,Sweet Design
94,Veneno
95,Malvada
96,Safari
97,Bobo
98,Sigo Extrañándote
99,Primera Cita
100,Pierde Los Modales
101,Por Un Día
102,No Hay Título
103,Consideration
104,Bird Set Free
105,Ruin
106,Three Empty Words
107,Don't Be a Fool
108,Like This
109,Thinking Bout You
110,Bad Decisions
111,Lights On
112,Alive
113,Side to Side
114,Patience
115,Greedy
116,Leave Me Lonely
117,Him
118,Don't Say
119,It Won't Kill Ya
120,Wake Up Alone
121,Young
122,Last Day Alive
123,Pray
124,Palace
125,No Peace
126,Say It First
127,One Last Song
128,Midnight Train
129,"Baby, You Make Me Crazy"
130,Burning
131,Too Good at Goodbyes
132,Party Favor
133,Shot Down
134,100 Letters
135,The Prologue
136,Dancing in the Dark
137,Start Over
138,Mouth of the River
139,Yesterday
140,I'll Make It Up to You
141,Rise Up
142,Walking the Wire
143,I Don't Know Why
144,American Teen
145,Another Sad Love Song
146,Coaster
147,8teen
148,Let's Go
149,Now or Never
150,Bloodstream
151,Hopeless
152,Cold Blooded
153,Winter
154,Therapy
155,Keep Me
156,Angels
157,Break Up Every Night
158,Hopeless
159,Good Mourning
160,Supermarket Flowers
161,The One
162,What Do I Know?
163,Hearts Don't Break Around Here
164,New Man
165,Shape of You
166,Castle on the Hill
167,Eraser
168,Closure
169,Eyes Closed
170,Copycat
171,My Boy
172,Best 4 U
173,Lips on You
174,Bet My Heart
175,Help Me Out
176,Who I Am
177,Whiskey
178,Hostage
179,Bellyache
180,Idontwannabeyouanymore
181,Santa's Coming for Us
182,How Would You Feel
183,Snowman
184,Walls Could Talk
185,Bad at Love
186,Strangers
187,Devil in Me
188,New Year's Day
189,This Is Why We Can't Have Nice Things
190,Dress
191,Dancing with Our Hands Tied
192,Candy Cane Lane
193,Getaway Car
194,So It Goes...
195,King of My Heart
196,Snowflake
197,Ho Ho Ho
198,Sunshine
199,Underneath the Mistletoe
200,Everyday Is Christmas
201,Puppies Are Forever
202,...Ready for It?
203,I Did Something Bad
204,Don't Blame Me
205,Underneath the Christmas Lights
206,When You're Ready
207,Perfectly Wrong
208,Mutual
209,Queen
210,Because I Had You
211,West Coast
212,Somewhere Over the Rainbow
213,Before I Cry
214,Too Far Gone
215,Twelve Notes
216,Ganja Burn
217,Majesty
218,Rich Sex
219,Hard White
220,Scene 98
221,Run & Hide
222,Chun Swae
223,LLC
224,Good Form
225,Nip Tuck
226,2 Lit 2 Late Interlude
227,Come See About Me
228,Sir
229,Miami
230,Thought I Knew You
231,Hair Body Face
232,Why
233,Why Did You Do That?
234,Fabulous French
235,La Vie en rose
236,I'll Wait for You
237,Maybe It's Time
238,Parking Lot
239,Out of Time
240,Alibi
241,Trust Me
242,"First Stop, Arizona"
243,Music to My Eyes
244,Diggin' My Grave
245,I Love You
246,Unbelievable
247,How Do You Hear It?
248,Look What I Found
249,Memphis
250,Heal Me
251,I Don't Know What Love Is
252,Vows
253,Is That Alright?
254,SNL
255,Black Eyes
256,Particular Taste
257,Inspirations
258,Like to Be You
259,Can't Take a Joke
260,Sandra's Rose
261,Talk Up
262,Is There More
263,Dónde Estarás
264,Tu Verdad
265,Noches Pasadas
266,8 Out of 10
267,Peligrosa
268,En Mí
269,Brillo
270,Ahora
271,No Es Justo
272,Cuando Tú Quieras
273,Ambiente
274,Vibras
275,En Mí
276,Goodnight n Go
277,Better Off
278,Borderline
279,No Tears Left to Cry
280,Successful
281,God Is a Woman
282,Blazed
283,Fallin' All in You
284,Raindrops
285,Machika
286,Survival
287,Elevate
288,Get Well Soon
289,Drive
290,Don't Leave Me Alone
291,Flames
292,Blame It On Love
293,Say My Name
294,Goodbye
295,I'm That Bitch
296,Love
297,Like I Do
298,She Knows How To Love Me
299,Motto
300,Boomerang
301,Para Que Te Quedes
302,Let It Be Me
303,Light Headed
304,Stuck
305,Battle
306,Digital
307,Lost in Japan
308,Nervous
309,Where Were You in the Morning?
310,Machine
311,Coco Chanel
312,Zero
313,Bullet In A Gun
314,Cool Out
315,Genius
316,Angel in Your Eyes
317,Welcome to the Wonderful World Of
318,Outta My Head
319,Audio
320,Hundred
321,My Bad
322,Don't Pretend
323,Paradise
324,Mountains
325,Alive
326,Free Spirit
327,Mojaita
328,Yo Le Llego
329,Cuidao por Ahí
330,Qué Pretendes
331,La Canción
332,No New Friends
333,Un Peso
334,Self
335,Bluffin'
336,"Thank U, next"
337,Twenty One
338,Genius
339,It's Time
340,Heaven Can Wait
341,Como un Bebé
342,Odio
343,Death by a Thousand Cuts
344,You Need to Calm Down
345,Me!
346,It's Nice to Have a Friend
347,Push My Luck
348,Takeaway
349,Do You Mean
350,Kills You Slowly
351,Peace of Mind
352,Tough Love
353,Bad Reputation
354,Ain't a Thing
355,Hold the Line
356,Freak
357,Excuse Me Mr. Sir
358,Heart Upon My Sleeve
359,Never Leave Me
360,Fades Away
361,Miss Americana & the Heartbreak Prince
362,!!!!!!!
363,You Should See Me in a Crown
364,All the Good Girls Go to Hell
365,When the Party's Over
366,8
367,Bury a Friend
368,Ilomilo
369,Listen Before I Go
370,I Love You
371,Goodbye
372,South of the Border
373,Take Me Back to London
374,Best Part of Me
375,Remember the Name
376,Put It All on Me
377,Nothing on You
378,I Don't Want Your Money
379,1000 Nights
380,Way to Break My Heart
381,Blow
382,Bad Luck
