,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.17,https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx,0.941,209640,0.335,5hTpBe8h35rJ67eAWHQsJx,0.0,5,0.262,-10.179,0,0.505,120.041,4,https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx,audio_features,spotify:track:5hTpBe8h35rJ67eAWHQsJx,0.707
1,0.189,https://api.spotify.com/v1/audio-analysis/75rnLkvIeq8RZ8xjcFIvSG,0.74,207733,0.974,75rnLkvIeq8RZ8xjcFIvSG,0.0,1,0.0849,-3.585,1,0.0903,120.041,4,https://api.spotify.com/v1/tracks/75rnLkvIeq8RZ8xjcFIvSG,audio_features,spotify:track:75rnLkvIeq8RZ8xjcFIvSG,0.766
2,0.129,https://api.spotify.com/v1/audio-analysis/3gzvOfEsblYOVK3xDXodCP,0.795,194000,0.557,3gzvOfEsblYOVK3xDXodCP,0.0,1,0.113,-6.653,1,0.0426,119.942,4,https://api.spotify.com/v1/tracks/3gzvOfEsblYOVK3xDXodCP,audio_features,spotify:track:3gzvOfEsblYOVK3xDXodCP,0.403
3,0.000323,https://api.spotify.com/v1/audio-analysis/3ilt7lMNflb49pEDpcZPAa,0.637,169573,0.509,3ilt7lMNflb49pEDpcZPAa,0.0,1,0.0938,-5.926,1,0.0346,111.805,4,https://api.spotify.com/v1/tracks/3ilt7lMNflb49pEDpcZPAa,audio_features,spotify:track:3ilt7lMNflb49pEDpcZPAa,0.306
4,0.551,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb,0.446,336453,0.239,18AXbzPzBS8Y3AkgSxzJPb,4.1e-06,0,0.0697,-13.945,1,0.0316,189.507,4,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,audio_features,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,0.298
5,0.676,https://api.spotify.com/v1/audio-analysis/2rxQMGVafnNaRaXlRMWPde,0.552,193200,0.402,2rxQMGVafnNaRaXlRMWPde,0.0,11,0.0928,-7.431,1,0.0262,103.313,4,https://api.spotify.com/v1/tracks/2rxQMGVafnNaRaXlRMWPde,audio_features,spotify:track:2rxQMGVafnNaRaXlRMWPde,0.382
6,0.0134,https://api.spotify.com/v1/audio-analysis/52DKGPMQ21DauCR19pQ0BK,0.455,348240,0.573,52DKGPMQ21DauCR19pQ0BK,0.0304,9,0.428,-11.301,0,0.0355,117.252,4,https://api.spotify.com/v1/tracks/52DKGPMQ21DauCR19pQ0BK,audio_features,spotify:track:52DKGPMQ21DauCR19pQ0BK,0.644
7,0.473,https://api.spotify.com/v1/audio-analysis/1T7AiFL9ruKKwlONN35Vh0,0.553,187027,0.507,1T7AiFL9ruKKwlONN35Vh0,0.0,11,0.108,-6.24,1,0.0304,83.093,4,https://api.spotify.com/v1/tracks/1T7AiFL9ruKKwlONN35Vh0,audio_features,spotify:track:1T7AiFL9ruKKwlONN35Vh0,0.57
8,0.324,https://api.spotify.com/v1/audio-analysis/5x2XIAdvFxWCwIOMNkbWUj,0.449,180088,0.599,5x2XIAdvFxWCwIOMNkbWUj,4.09e-06,9,0.114,-6.509,0,0.0405,119.868,4,https://api.spotify.com/v1/tracks/5x2XIAdvFxWCwIOMNkbWUj,audio_features,spotify:track:5x2XIAdvFxWCwIOMNkbWUj,0.198
9,0.129,https://api.spotify.com/v1/audio-analysis/7CHi4DtfK4heMlQaudCuHK,0.598,168387,0.526,7CHi4DtfK4heMlQaudCuHK,0.0,10,0.14,-8.659,0,0.0415,123.935,4,https://api.spotify.com/v1/tracks/7CHi4DtfK4heMlQaudCuHK,audio_features,spotify:track:7CHi4DtfK4heMlQaudCuHK,0.529
